cliente_id,ingreso_mensual,antiguedad_laboral_meses,score_buro,edad_cliente,tipo_empleo,num_productos_banco,pagos_tardios_12m,estado_civil,monto_linea_credito
1100,17303.43,58.0,642.0,45.0,negocio propio,4,1,SOLTERO,198004.9
1213,25260.37,79.0,566.0,34.0,Asalariado,3,2, Soltero,223194.56
1510,28953.18,84.0,685.0,33.0,ASALARIADO,3,0,Casado,239963.99
1209,17535.7,30.0,774.0,35.0,ASALARIADO,2,2, Casado,225043.31
1501,36592.83,95.0,530.0,60.0,negocio propio,5,2,Divorciado,253301.58
1127,37438.07,27.0,850.0,37.0,Independiente,4,0,divorciado,297236.66
1126,28033.4,70.0,610.0,38.0, Independiente,5,2,casado,239077.42
1402,,114.0,659.0,46.0, Negocio propio,4,3,CASADO,225847.94
1263,26973.44,47.0,685.0,40.0,INDEPENDIENTE,3,1, Casado,224560.58
1487,18374.4,30.0,496.0,28.0,Asalariado,2,2,UNION LIBRE,169083.11
1293,37507.68,,737.0,33.0,ASALARIADO,3,1,casado,276818.65
1303,32342.54,63.0,548.0,41.0,Asalariado,3,1,CASADO,237834.95
1474,26575.27,17.0,533.0,49.0,asalariado,2,1,Soltero,204885.98
1045,25991.83,103.0,695.0,34.0, Negocio propio,5,1,CASADO,240008.58
1112,27020.75,20.0,604.0,39.0,ASALARIADO,3,1,CASADO,230874.07
1297,27515.95,70.0,708.0,45.0, Asalariado,3,1,Casado,242538.84
1479,25053.88,92.0,555.0,43.0,negocio propio,3,1,Casado,208217.63
1308,36050.38,,771.0,32.0,Independiente,6,2,Soltero,289177.89
1008,22311.94,21.0,462.0,20.0,NEGOCIO PROPIO,1,2,casado,171708.03
1221,23097.2,157.0,649.0,41.0,Asalariado,2,2,soltero,222505.02
1252,27903.22,85.0,754.0,18.0,asalariado,4,0,divorciado,283374.14
1379,38636.16,58.0,820.0,38.0, Negocio propio,1,0,Casado,293635.66
1041,31317.66,77.0,629.0,61.0, Negocio propio,3,1, Soltero,252195.87
1349,11556.45,137.0,525.0,37.0,asalariado,3,0,soltero,174795.18
1384,14361.0,106.0,668.0,29.0,INDEPENDIENTE,3,2,casado,177571.79
1380,21109.55,12.0,655.0,33.0,asalariado,1,0,CASADO,205250.9
1168,28272.08,53.0,580.0,49.0, Asalariado,1,2, Soltero,204980.61
1203,25769.97,60.0,795.0,34.0,Asalariado,2,0,CASADO,256576.45
1410,13979.99,86.0,,44.0,Asalariado,3,3,divorciado,177346.75
1324,31382.39,53.0,627.0,49.0, Asalariado,6,1,CASADO,237569.49
1443,28076.34,,649.0,39.0, Independiente,3,2,Soltero,232217.34
1238,23617.34,62.0,653.0,40.0,asalariado,4,3, Union libre,218340.41
2013,32195.96,90.0,487.0,28.0,independiente,2,3, Soltero,211064.35
1087,21010.08,50.0,500.0,43.0,Negocio propio,1,1,Soltero,178621.59
1393,20989.9,131.0,630.0,38.0,asalariado,2,0,CASADO,211348.0
1149,34060.83,78.0,536.0,35.0,ASALARIADO,3,2,Soltero,234342.4
1304,22207.54,12.0,560.0,29.0,Negocio propio,2,2,CASADO,183989.95
1439,19438.59,24.0,703.0,33.0,asalariado,4,3, Divorciado,181320.83
1267,26321.15,25.0,628.0,41.0,Asalariado,2,2, Divorciado,220749.19
1511,11731.85,41.0,683.0,52.0,Negocio propio,1,0,Casado,191701.63
1455,25589.74,35.0,525.0,33.0,asalariado,4,4, Casado,195313.53
1408,32050.91,97.0,784.0,33.0,Independiente,1,4,Soltero,263283.21
1456,26361.62,20.0,698.0,35.0,asalariado,2,1,soltero,241644.72
1155,24542.85,16.0,658.0,32.0,NEGOCIO PROPIO,2,0,SOLTERO,234676.65
1445,22086.32,205.0,664.0,48.0,Asalariado,3,1, Union libre,220696.76
1191,39651.16,84.0,584.0,38.0,Asalariado,4,3,Union libre,274924.57
1259,23862.5,105.0,631.0,45.0, Asalariado,2,0,Casado,221369.37
1207,17832.54,,668.0,30.0, Asalariado,3,2, Soltero,203407.42
1441,23391.42,49.0,801.0,43.0,Asalariado,1,0, Casado,258544.72
2001,30365.95,50.0,715.0,65.0,NEGOCIO PROPIO,3,1,soltero,264369.69
1200,23610.74,139.0,612.0,42.0, Asalariado,5,1, Union libre,214679.87
1143,6877.61,38.0,640.0,54.0, Independiente,6,3, Casado,146020.03
1058,37707.0,51.0,682.0,34.0,asalariado,1,1,union libre,279056.78
1281,29081.22,86.0,670.0,36.0,asalariado,4,0, Casado,248544.35
1431,16155.38,60.0,593.0,56.0,NEGOCIO PROPIO,6,0,Soltero,202498.08
1492,28115.52,65.0,673.0,37.0, Negocio propio,4,1,Casado,253620.01
1437,20461.85,175.0,556.0,34.0,Asalariado,4,3,Divorciado,190417.47
1516,27929.48,73.0,642.0,28.0, Asalariado,2,1, Casado,226762.48
1004,32994.8,145.0,526.0,39.0,Asalariado,3,1,DIVORCIADO,235552.29
1094,24322.4,33.0,751.0,21.0,asalariado,2,1,Casado,246513.53
1176,26467.0,46.0,601.0,44.0,independiente,7,1,casado,219632.79
1235,18802.79,55.0,,43.0,Asalariado,2,2,casado,164047.19
1413,19234.75,41.0,629.0,43.0,INDEPENDIENTE,2,3, Union libre,209768.65
1201,27869.38,55.0,656.0,49.0, Independiente,1,2, Casado,206059.27
1507,45573.53,62.0,,41.0, Negocio propio,4,0,SOLTERO,305037.34
1433,23885.76,31.0,,20.0,Negocio propio,3,1,Soltero,228926.33
1322,23379.47,37.0,553.0,21.0,NEGOCIO PROPIO,3,2, Divorciado,195642.41
1085,14835.36,50.0,517.0,39.0,negocio propio,1,1, Soltero,159646.46
1407,24000.89,175.0,668.0,18.0,asalariado,3,0,casado,229057.0
2010,42654.33,102.0,537.0,38.0,asalariado,2,1, Casado,274623.22
1114,12708.51,33.0,596.0,49.0,Asalariado,3,0,Casado,177132.9
1003,31378.84,142.0,649.0,46.0,Asalariado,2,3,DIVORCIADO,238428.82
1092,24162.87,36.0,641.0,19.0,negocio propio,3,1, Soltero,231159.31
1360,23746.01,34.0,504.0,33.0,ASALARIADO,2,1, Soltero,180499.31
1029,28508.23,75.0,559.0,46.0,asalariado,3,2,SOLTERO,228378.72
1052,30365.95,50.0,715.0,65.0,Negocio propio,3,1,soltero,264369.69
1367,18679.5,44.0,551.0,32.0,independiente,4,3, Casado,168110.95
1343,25612.29,37.0,402.0,39.0,independiente,3,2,CASADO,168666.69
1383,11380.79,66.0,594.0,44.0,Independiente,5,0, Divorciado,168838.24
1342,27587.12,43.0,697.0,28.0,negocio propio,2,2, Soltero,236230.31
1515,31721.85,61.0,716.0,29.0, Asalariado,4,3, Casado,259296.37
1500,12291.98,60.0,621.0,30.0,independiente,5,4,CASADO,183439.77
1296,26500.36,57.0,632.0,22.0,asalariado,3,1,union libre,228817.25
1231,12560.74,87.0,688.0,51.0,asalariado,2,2,Casado,188260.37
1289,22516.54,131.0,531.0,37.0,Asalariado,5,1,Soltero,198311.42
1073,17184.66,19.0,705.0,44.0,asalariado,2,3,casado,194983.08
1329,15037.94,85.0,559.0,18.0,NEGOCIO PROPIO,4,2,Soltero,163944.11
1142,16588.93,118.0,704.0,25.0,NEGOCIO PROPIO,4,0,SOLTERO,198597.8
1270,25000.72,61.0,600.0,54.0,asalariado,3,2,soltero,230702.85
1272,27690.2,44.0,725.0,34.0,Asalariado,2,2,casado,231837.47
1181,36101.01,63.0,597.0,27.0,asalariado,5,4, Casado,256727.36
1187,26557.49,51.0,843.0,57.0,independiente,2,0, Soltero,261735.04
1403,31974.49,21.0,794.0,30.0,Negocio propio,3,3, Casado,269517.85
1295,22986.77,56.0,663.0,32.0,Asalariado,4,1,Casado,213061.13
1518,19148.84,44.0,597.0,46.0,Negocio propio,3,2, Casado,186635.6
1462,17916.37,79.0,706.0,34.0, Negocio propio,4,1,CASADO,219646.41
1217,29573.98,88.0,515.0,38.0,ASALARIADO,2,2,CASADO,221427.98
1481,26896.18,39.0,546.0,44.0,ASALARIADO,3,0,SOLTERO,207379.9
1192,23474.09,61.0,596.0,49.0,ASALARIADO,8,1, Union libre,214275.44
1223,26500.87,65.0,624.0,39.0, Independiente,4,5,casado,209164.49
1081,28882.59,219.0,758.0,27.0,asalariado,2,2,union libre,272943.56
1520,38845.96,21.0,667.0,21.0,asalariado,4,0,casado,286266.73
1397,31461.13,173.0,642.0,46.0,ASALARIADO,2,2,Casado,260524.45
1432,29034.93,71.0,687.0,36.0,Asalariado,4,3, Casado,237474.24
1334,16383.4,61.0,703.0,39.0,INDEPENDIENTE,1,0, Soltero,212563.99
1064,29982.89,54.0,674.0,40.0,asalariado,3,1, Soltero,240451.78
1062,22153.48,22.0,662.0,30.0,asalariado,4,1,Soltero,219575.76
1277,18514.01,36.0,555.0,34.0,ASALARIADO,3,2,CASADO,188247.31
1347,19975.62,25.0,,41.0, Negocio propio,2,4, Soltero,205307.62
1178,26359.93,101.0,608.0,20.0,Asalariado,6,1,SOLTERO,232119.59
1401,23473.3,21.0,624.0,31.0,ASALARIADO,2,0, Casado,219009.56
1082,19373.63,84.0,696.0,35.0, Independiente,3,2,soltero,203401.73
1009,24857.19,47.0,679.0,53.0, Independiente,4,0,Soltero,247108.89
1156,40027.4,68.0,570.0,22.0,Independiente,2,1,CASADO,269183.6
1300,,67.0,724.0,18.0,Asalariado,3,1,CASADO,264227.69
1163,43091.99,179.0,527.0,18.0,ASALARIADO,1,0,Soltero,292251.98
1218,36367.88,42.0,676.0,51.0,Negocio propio,2,4,Soltero,259211.47
1097,13757.05,58.0,650.0,33.0, Asalariado,4,1, Soltero,179853.66
1086,29139.27,104.0,683.0,43.0,independiente,7,1, Soltero,232694.89
1435,32890.52,147.0,745.0,45.0,Independiente,2,3,SOLTERO,263249.29
1157,26107.33,130.0,605.0,31.0,Asalariado,4,2,CASADO,234688.45
1302,11962.18,56.0,598.0,21.0,INDEPENDIENTE,5,2,UNION LIBRE,158872.58
1280,27233.37,77.0,595.0,27.0,NEGOCIO PROPIO,6,1, Soltero,243337.5
1122,26523.84,96.0,533.0,51.0,Asalariado,2,1,soltero,208898.48
1449,34474.04,68.0,691.0,44.0,ASALARIADO,2,2,CASADO,286396.88
1038,17858.67,51.0,631.0,42.0,ASALARIADO,5,1,Casado,197864.36
1325,40475.49,15.0,601.0,52.0, Independiente,6,3,casado,273323.59
1311,35008.0,47.0,771.0,48.0,INDEPENDIENTE,1,0,CASADO,295269.63
1165,32127.16,72.0,728.0,26.0,independiente,2,1,CASADO,258338.71
1363,33498.51,17.0,760.0,30.0,asalariado,3,2,Divorciado,274127.09
1138,32124.08,41.0,737.0,60.0,independiente,2,2, Casado,275068.46
1381,25916.98,105.0,671.0,34.0,negocio propio,3,3,Casado,234389.2
1396,26175.05,85.0,670.0,39.0,asalariado,4,4,Soltero,224418.23
1485,24517.34,32.0,700.0,42.0, Asalariado,4,1,DIVORCIADO,232774.67
1372,36296.17,62.0,546.0,36.0,Negocio propio,7,1, Casado,252811.18
1440,28637.07,54.0,543.0,49.0,NEGOCIO PROPIO,2,1, Soltero,228542.67
1306,16050.36,140.0,712.0,34.0,negocio propio,5,1,CASADO,196834.66
1070,23373.91,94.0,525.0,33.0,Independiente,4,2,Soltero,191022.34
1016,17696.01,84.0,451.0,52.0,INDEPENDIENTE,3,0,SOLTERO,175679.19
1471,27955.52,87.0,706.0,38.0, Asalariado,1,1,SOLTERO,231271.1
1434,9437.3,36.0,531.0,57.0,independiente,3,1,Union libre,139824.72
1246,14056.91,28.0,706.0,66.0,Asalariado,1,3,casado,197930.43
1037,24031.45,172.0,667.0,33.0,NEGOCIO PROPIO,3,2,Casado,240216.83
1210,22159.95,113.0,719.0,33.0,asalariado,3,2,DIVORCIADO,222401.82
1512,22472.75,53.0,552.0,37.0, Asalariado,3,4,casado,177737.97
1491,34224.94,89.0,796.0,48.0,negocio propio,4,2,Soltero,275438.76
1059,17640.44,55.0,742.0,39.0,asalariado,1,1,Casado,235810.6
1301,39682.48,57.0,602.0,45.0, Asalariado,2,3,soltero,277433.15
1108,22118.22,87.0,588.0,36.0,Asalariado,5,1,casado,200057.49
1467,,62.0,735.0,46.0,NEGOCIO PROPIO,3,2, Soltero,219237.35
1320,14984.42,53.0,737.0,29.0, Independiente,2,4,SOLTERO,174143.11
1318,19071.9,147.0,517.0,18.0,ASALARIADO,2,2,CASADO,178025.93
1409,8058.99,,692.0,50.0,independiente,1,2,Casado,161100.2
1498,22147.34,59.0,695.0,41.0,Asalariado,3,1,Soltero,224067.94
1093,21401.96,123.0,803.0,28.0,Asalariado,5,2,Union libre,268003.22
1274,42791.93,145.0,539.0,63.0,asalariado,2,1,soltero,273163.65
1313,39823.44,52.0,659.0,31.0,Asalariado,2,0, Casado,280422.42
1427,31830.47,83.0,642.0,52.0,ASALARIADO,2,1,divorciado,253978.37
1148,23803.28,59.0,,29.0, Independiente,2,2,SOLTERO,220641.07
1422,17882.12,83.0,670.0,40.0, Negocio propio,6,2,casado,204237.97
1135,12498.15,67.0,812.0,40.0,asalariado,6,2,divorciado,205366.87
2002,34955.6,171.0,467.0,24.0,asalariado,3,3,SOLTERO,227806.83
1075,,63.0,655.0,50.0,ASALARIADO,1,2,soltero,232894.66
1477,34042.74,23.0,692.0,42.0,INDEPENDIENTE,4,2, Casado,259523.77
1517,30680.77,30.0,610.0,36.0,INDEPENDIENTE,2,1, Casado,221698.85
1212,13725.66,89.0,443.0,18.0,asalariado,3,0,divorciado,140699.18
1376,44785.05,83.0,586.0,34.0, Negocio propio,4,2,casado,277151.35
1387,28736.91,107.0,548.0,40.0,independiente,5,2,Divorciado,216418.88
1365,23937.42,150.0,786.0,39.0, Negocio propio,1,0,Soltero,238382.43
1519,32631.43,74.0,690.0,25.0,Asalariado,1,1,Casado,254116.17
1130,17124.1,67.0,554.0,39.0,Independiente,4,3,CASADO,167842.72
1013,25561.26,57.0,590.0,46.0,Asalariado,4,1,Soltero,194844.5
1292,26296.78,100.0,770.0,23.0,NEGOCIO PROPIO,5,2, Casado,267542.97
1338,27652.08,36.0,610.0,38.0,ASALARIADO,2,0,SOLTERO,235843.96
2007,27457.51,45.0,654.0,35.0,asalariado,3,2,UNION LIBRE,244683.03
1173,21132.64,,538.0,36.0, Asalariado,3,0, Casado,196082.86
1234,35249.76,24.0,,18.0,negocio propio,3,0, Divorciado,256173.85
1339,34820.15,32.0,687.0,56.0,ASALARIADO,2,5,casado,256677.33
1294,6000.0,107.0,675.0,45.0, Independiente,2,1, Casado,169753.87
1333,19059.09,83.0,639.0,34.0,Asalariado,4,0,UNION LIBRE,199975.97
1419,24412.33,57.0,534.0,35.0,asalariado,4,1,soltero,200858.23
1005,8416.2,78.0,543.0,46.0, Independiente,6,4, Casado,121354.71
2009,23803.28,59.0,,29.0, Independiente,2,2,SOLTERO,220641.07
1323,34955.6,171.0,467.0,24.0,asalariado,3,3,SOLTERO,227806.83
1145,18090.0,134.0,661.0,28.0,ASALARIADO,1,1,Casado,197232.83
1502,32609.07,80.0,482.0,43.0,INDEPENDIENTE,5,1,Soltero,218638.33
1055,21001.83,51.0,746.0,31.0,Asalariado,4,2,SOLTERO,227283.61
1196,17394.82,40.0,547.0,45.0,Asalariado,3,0,SOLTERO,168861.55
1164,18018.21,167.0,606.0,48.0, Negocio propio,3,1,CASADO,184031.0
1236,19439.76,109.0,691.0,18.0, Independiente,4,0,Union libre,214632.94
1490,30657.47,81.0,527.0,28.0,asalariado,2,2,DIVORCIADO,209662.18
1260,13313.39,35.0,714.0,45.0,INDEPENDIENTE,2,0, Casado,181387.72
1415,22578.49,92.0,625.0,47.0,independiente,4,4, Casado,204996.11
1276,28279.7,58.0,653.0,49.0,Asalariado,2,6, Union libre,208715.3
1205,7573.54,58.0,675.0,47.0, Asalariado,5,1, Divorciado,182243.19
1107,16924.81,30.0,681.0,38.0, Independiente,2,1,Soltero,184018.88
1232,19978.99,76.0,624.0,49.0,negocio propio,5,0, Union libre,203994.13
1345,38737.78,49.0,391.0,28.0,Asalariado,3,2,Soltero,228212.69
1426,21956.86,20.0,676.0,38.0,asalariado,3,0,Casado,220745.58
1025,21359.21,60.0,688.0,35.0,Negocio propio,2,2,soltero,216070.6
1044,26973.37,44.0,592.0,30.0,ASALARIADO,2,3, Soltero,219024.08
1290,24120.35,95.0,706.0,35.0, Negocio propio,4,0,CASADO,244859.45
1448,22182.35,116.0,699.0,44.0, Independiente,3,0, Divorciado,240270.1
1309,29952.57,67.0,512.0,44.0,independiente,6,0,Divorciado,205488.43
1352,32195.96,90.0,487.0,28.0,independiente,2,3, Soltero,211064.35
1083,21914.04,106.0,617.0,26.0, Negocio propio,5,1,soltero,200951.08
1167,32918.37,42.0,634.0,40.0, Independiente,4,2,Casado,252070.26
1336,14659.24,102.0,653.0,59.0, Independiente,3,0,Casado,190904.24
1399,29505.55,128.0,718.0,38.0,INDEPENDIENTE,4,4,Casado,254222.5
1125,32098.45,82.0,685.0,38.0, Negocio propio,5,2,soltero,244812.5
1453,41583.61,112.0,644.0,46.0,Asalariado,1,1,Casado,302295.62
1102,36043.44,53.0,661.0,28.0,Independiente,7,1, Soltero,264247.72
1483,25777.92,74.0,850.0,40.0,ASALARIADO,1,0, Casado,254051.41
1077,21368.35,48.0,749.0,21.0, Asalariado,7,1,casado,234164.6
1133,30398.78,65.0,452.0,30.0, Asalariado,4,3,casado,213314.99
2012,30655.77,10.0,556.0,40.0,INDEPENDIENTE,1,1, Casado,233181.91
1151,23651.6,52.0,531.0,30.0,ASALARIADO,3,1,casado,199529.15
2014,10317.78,79.0,522.0,33.0, Asalariado,3,2, Casado,147693.01
1027,29524.63,23.0,670.0,39.0,Negocio propio,1,1, Casado,248834.42
1368,18010.87,65.0,592.0,20.0,Asalariado,4,1,Casado,190073.03
1266,33608.08,71.0,669.0,40.0,ASALARIADO,5,1,soltero,259743.86
1113,19949.73,116.0,754.0,44.0,INDEPENDIENTE,1,1,SOLTERO,231296.1
1378,7970.06,157.0,576.0,45.0,INDEPENDIENTE,3,2,UNION LIBRE,139717.54
1317,25565.64,71.0,667.0,34.0,asalariado,3,2,Union libre,239395.82
1247,15677.32,48.0,729.0,46.0, Asalariado,2,6,casado,185926.15
1406,22740.37,78.0,489.0,37.0,NEGOCIO PROPIO,2,0,casado,189241.1
1282,10171.02,71.0,625.0,37.0,INDEPENDIENTE,3,4, Soltero,157195.63
1390,12991.49,13.0,664.0,56.0,ASALARIADO,3,0, Soltero,197753.62
1111,28692.6,104.0,563.0,36.0, Asalariado,5,5,CASADO,227639.39
1509,20243.64,39.0,572.0,48.0,ASALARIADO,2,1,casado,189246.02
1091,30655.77,10.0,556.0,40.0,INDEPENDIENTE,1,1, Casado,233181.91
1206,24585.89,67.0,536.0,64.0, Asalariado,2,1,soltero,208766.1
1171,,81.0,776.0,30.0,independiente,1,0,casado,207333.99
1457,34148.04,63.0,429.0,58.0,asalariado,4,2,soltero,214746.15
1414,31370.19,62.0,583.0,50.0,INDEPENDIENTE,1,4,DIVORCIADO,232968.79
1057,22661.29,156.0,785.0,47.0,independiente,6,3,Soltero,245787.47
1242,24198.77,51.0,673.0,41.0,asalariado,4,2,CASADO,221320.59
1088,25106.2,80.0,714.0,44.0,independiente,3,0,casado,245435.38
1098,16523.4,66.0,674.0,58.0,INDEPENDIENTE,4,0, Soltero,199348.1
1117,26977.75,53.0,671.0,42.0, Independiente,2,1, Casado,240055.17
1202,36963.6,72.0,540.0,50.0,asalariado,2,2,soltero,238966.38
1417,34258.35,88.0,585.0,42.0, Asalariado,2,0,Union libre,235028.46
1442,27793.63,99.0,706.0,40.0,Asalariado,3,3,Casado,260336.86
1214,20884.56,81.0,708.0,42.0,Asalariado,1,2,Soltero,220578.82
1374,32155.47,94.0,618.0,31.0,ASALARIADO,2,3, Soltero,256483.95
1310,,10.0,712.0,34.0,NEGOCIO PROPIO,3,2,Soltero,285646.49
1341,6000.0,63.0,693.0,48.0,ASALARIADO,1,2,Casado,163239.04
1428,39626.54,74.0,605.0,44.0,ASALARIADO,4,1,casado,271132.9
1496,32952.15,76.0,732.0,39.0,INDEPENDIENTE,1,4,soltero,263733.97
2011,25565.64,71.0,667.0,34.0,asalariado,3,2,Union libre,239395.82
1226,26939.94,56.0,622.0,35.0,Asalariado,1,0,soltero,227420.76
1090,28795.51,38.0,850.0,59.0, Asalariado,3,2, Casado,293201.09
1358,27297.92,93.0,724.0,46.0, Negocio propio,4,1,UNION LIBRE,248308.0
1361,,47.0,616.0,34.0,Independiente,3,1,Casado,215032.19
1514,24268.14,103.0,737.0,50.0,Asalariado,3,0,divorciado,253526.41
1405,29429.92,32.0,715.0,60.0, Negocio propio,2,1,soltero,252301.71
1503,18884.42,30.0,628.0,45.0,independiente,3,0, Divorciado,202416.24
1015,28973.83,100.0,512.0,33.0,ASALARIADO,3,3,union libre,212519.68
1495,22376.28,14.0,,48.0,Independiente,3,4,DIVORCIADO,191333.15
1319,33411.46,24.0,696.0,33.0,asalariado,2,2, Soltero,277605.25
1121,16300.27,36.0,516.0,48.0,Negocio propio,3,2,Casado,160326.86
1286,20992.04,105.0,636.0,43.0, Asalariado,2,2, Union libre,196989.63
1043,19343.17,133.0,657.0,41.0, Asalariado,1,0, Casado,207052.19
1197,30468.28,92.0,722.0,61.0, Asalariado,3,2, Casado,257568.51
1034,18082.93,29.0,623.0,38.0,negocio propio,2,0,casado,192242.07
1251,21869.88,82.0,715.0,36.0,negocio propio,4,6, Casado,229697.36
1470,16822.23,41.0,728.0,42.0,asalariado,3,2,union libre,206900.49
1307,22157.12,134.0,804.0,36.0, Independiente,4,1,casado,239508.9
1366,37592.37,,647.0,48.0, Independiente,4,1,CASADO,281152.09
1330,20594.62,108.0,603.0,19.0,Asalariado,2,2, Divorciado,190424.79
1359,17661.57,152.0,712.0,46.0,INDEPENDIENTE,3,0,casado,228129.79
1291,22858.19,90.0,558.0,46.0, Independiente,2,1,union libre,190383.35
1017,28134.38,80.0,730.0,28.0,ASALARIADO,2,2,SOLTERO,258392.76
1159,20755.99,30.0,653.0,50.0,negocio propio,2,2,Soltero,199720.28
1244,12530.12,98.0,664.0,33.0,Independiente,3,2, Union libre,166199.83
1067,22035.84,74.0,733.0,30.0,ASALARIADO,3,3,CASADO,224776.74
1463,11488.68,150.0,616.0,18.0,Asalariado,2,1,soltero,170076.76
1486,23551.54,31.0,608.0,30.0,Asalariado,3,2,soltero,201679.06
1120,22965.48,169.0,605.0,46.0,Asalariado,4,1,Union libre,195661.73
1497,9433.05,136.0,647.0,52.0,Asalariado,2,0, Divorciado,162590.85
1066,31743.45,27.0,500.0,41.0,ASALARIADO,3,1, Soltero,215787.08
1239,15969.48,103.0,732.0,48.0,Negocio propio,3,2,SOLTERO,194889.91
1010,17749.13,9.0,751.0,41.0,asalariado,2,1,divorciado,212773.56
1412,6000.0,212.0,653.0,48.0,asalariado,2,0, Casado,154230.03
1019,32466.83,40.0,611.0,40.0, Asalariado,3,0,DIVORCIADO,260933.2
1154,20866.38,30.0,746.0,43.0,Negocio propio,1,2,divorciado,214963.23
1394,28904.78,53.0,588.0,37.0, Negocio propio,4,1,casado,234067.38
1257,28695.51,47.0,782.0,31.0, Independiente,2,2,union libre,251452.47
1468,41466.46,70.0,566.0,52.0,ASALARIADO,2,0,SOLTERO,271624.75
1340,30174.47,49.0,584.0,23.0, Independiente,3,2, Casado,223165.07
1305,24478.74,56.0,495.0,26.0,asalariado,5,2,soltero,187115.26
1273,24173.06,32.0,523.0,43.0,NEGOCIO PROPIO,2,1,CASADO,183080.52
1134,23111.11,170.0,670.0,27.0,Independiente,1,1,casado,230458.59
1472,21539.83,68.0,813.0,51.0,Asalariado,5,1,soltero,243374.1
1254,16611.71,66.0,575.0,46.0, Independiente,3,3,CASADO,170416.97
1271,18866.76,50.0,651.0,28.0,Negocio propio,4,0, Divorciado,209643.09
1162,18835.58,173.0,,45.0,Asalariado,5,0,casado,221389.15
1287,,64.0,739.0,31.0, Asalariado,2,1, Divorciado,247414.07
1391,6000.0,102.0,596.0,29.0,independiente,3,0,Casado,140475.14
1369,26719.6,49.0,582.0,19.0,Asalariado,2,2,Soltero,205188.96
1375,29709.99,145.0,497.0,30.0,INDEPENDIENTE,1,3,casado,204889.58
1337,19295.31,183.0,663.0,32.0,independiente,1,2,soltero,200235.36
1473,22582.91,25.0,585.0,55.0,NEGOCIO PROPIO,2,3,casado,201897.13
1002,16160.14,137.0,679.0,39.0,ASALARIADO,4,1, Casado,203449.86
1225,25769.16,112.0,,42.0,NEGOCIO PROPIO,3,3,CASADO,219321.57
1208,14640.09,80.0,555.0,33.0, Asalariado,5,0,Casado,175840.82
1118,25185.74,67.0,638.0,44.0, Asalariado,4,2,casado,227145.67
