id_cliente,canal_adquisicion,cac_mxn,cohorte_mes,ciudad,dispositivo_registro,edad,newsletter,descuento_primera,monto_primera_compra,categoria_primera,piezas_primera,pedidos_90d,dias_a_segunda_compra_90d,tasa_devolucion_90d,activo_app_90d,gasto_12m
501444,Google Ads,596.0,9,Monterrey,Movil,28.0,0,25,441.0,Ropa,1,0,,0.0,0,441.0
501813,Referido,132.0,10,Merida,Movil,33.0,1,5,431.0,Deportivo,1,2,69.0,0.432,0,431.0
500629,Instagram,485.0,10,CDMX,Movil,35.0,0,0,536.0,Ropa,2,0,,0.0,1,566.0
500355,Google Ads,437.0,7,Puebla,Movil,33.0,0,0,-770.0,Ropa,4,6,71.0,0.083,1,770.0
501058,Google Ads,753.0,5,Monterrey,Movil,37.0,1,5,1066.0,Ropa,1,1,61.0,0.055,0,1066.0
500308,Instagram,391.0,8,CDMX,Escritorio,37.0,1,20,388.0,Calzado,2,3,37.0,0.057,1,781.0
500694,Afiliados,241.0,1,Puebla,Tablet,,1,25,369.0,Ropa,1,0,,0.0,0,369.0
500034,Instagram,537.0,1,Monterrey,Tablet,42.0,0,5,154.0,Accesorios,2,1,60.0,0.073,0,154.0
500978,Google Ads,468.0,8,CDMX,Escritorio,,0,15,336.0,Ropa,5,1,55.0,0.211,1,408.0
500644,Instagram,256.0,12,CDMX,Movil,30.0,0,20,485.0,Accesorios,1,1,35.0,0.15,0,495.0
501313,Instagram,317.0,4,CDMX,Movil,40.0,1,20,368.0,Deportivo,3,0,,0.0,0,368.0
501044,Afiliados,,6,Guadalajara,Movil,45.0,0,15,178.0,Accesorios,1,0,,0.0,0,178.0
501369,Organico,158.0,2,Merida,Tablet,29.0,1,30,376.0,Ropa,1,0,,0.0,1,734.0
500423,Organico,135.0,7,CDMX,Escritorio,,0,0,222.0,Ropa,1,3,16.0,0.122,0,554.0
500655,Google Ads,464.0,1,Merida,Escritorio,50.0,0,15,694.0,Accesorios,3,1,56.0,0.061,1,694.0
501137,Google Ads,499.0,3,Guadalajara,Movil,38.0,0,15,594.0,Calzado,2,2,59.0,0.082,0,594.0
500514,Organico,104.0,6,Monterrey,Movil,32.0,1,0,668.0,Deportivo,1,4,2.0,0.293,1,1651.0
500108,Referido,168.0,10,Puebla,Movil,36.0,0,5,302.0,Calzado,1,2,13.0,0.152,1,1170.0
500991,Instagram,411.0,5,Monterrey,Escritorio,24.0,0,30,286.0,Ropa,4,0,,0.0,1,286.0
500549,Afiliados,200.0,2,Puebla,Escritorio,29.0,0,30,254.0,Calzado,1,0,,0.0,0,254.0
500939,Afiliados,231.0,1,Puebla,Movil,,0,25,384.0,Ropa,2,2,88.0,0.069,1,
501443,Afiliados,252.0,7,Puebla,Movil,23.0,1,15,159.0,Calzado,1,2,74.0,0.441,1,159.0
500042,Organico,91.0,7,Monterrey,Movil,31.0,0,20,489.0,Ropa,2,1,8.0,0.306,0,489.0
500713,Google Ads,334.0,4,Monterrey,Escritorio,40.0,1,0,369.0,Ropa,2,1,15.0,0.452,0,369.0
501877,Referido,184.0,12,Monterrey,Movil,22.0,0,0,802.0,Deportivo,1,3,23.0,0.039,0,1227.0
501391,Instagram,311.0,6,Merida,Movil,41.0,0,15,293.0,Calzado,3,1,70.0,0.448,1,400.0
501867,Organico,116.0,6,Puebla,Movil,48.0,1,0,679.0,Deportivo,5,3,33.0,0.072,1,825.0
500734,Google Ads,756.0,3,CDMX,Movil,50.0,1,5,593.0,Ropa,1,0,,0.0,0,593.0
500903,Instagram,497.0,3,Guadalajara,Movil,37.0,1,25,207.0,Calzado,1,2,40.0,0.098,0,207.0
501236,Afiliados,273.0,8,Guadalajara,Movil,38.0,0,20,391.0,Accesorios,3,0,,0.0,0,391.0
500189,Organico,192.0,12,Guadalajara,Escritorio,45.0,0,15,381.0,Ropa,1,4,23.0,0.165,0,423.0
500063,Instagram,284.0,4,Monterrey,Escritorio,42.0,0,15,142.0,Ropa,1,0,,0.0,1,159.0
501642,Afiliados,168.0,12,CDMX,Movil,,1,25,178.0,Accesorios,1,1,43.0,0.163,0,178.0
500952,Organico,142.0,10,Monterrey,Movil,39.0,0,0,444.0,Ropa,2,1,55.0,0.012,1,727.0
500809,Organico,157.0,9,Puebla,Movil,40.0,0,0,798.0,Calzado,3,1,24.0,0.066,1,798.0
501081,Organico,130.0,1,Monterrey,Movil,30.0,1,0,546.0,Calzado,2,1,13.0,0.142,1,546.0
501783,Organico,85.0,8,Monterrey,Movil,21.0,0,0,476.0,Deportivo,1,1,14.0,0.041,0,476.0
500497,Referido,115.0,3,CDMX,Movil,24.0,1,20,697.0,Calzado,1,6,9.0,0.552,1,1006.0
501477,Instagram,435.0,2,Guadalajara,Escritorio,32.0,0,0,471.0,Ropa,1,2,32.0,0.099,1,510.0
501564,Organico,153.0,6,CDMX,Movil,21.0,0,15,230.0,Ropa,1,0,,0.0,0,230.0
501143,Afiliados,221.0,3,Puebla,Movil,,0,20,455.0,Ropa,1,2,90.0,0.11,0,455.0
500950,Google Ads,534.0,2,Monterrey,Movil,31.0,0,20,257.0,Deportivo,1,0,,0.0,1,326.0
501473,Google Ads,409.0,2,Monterrey,Movil,43.0,0,15,487.0,Calzado,3,1,26.0,0.164,1,487.0
501429,Instagram,254.0,4,Guadalajara,Escritorio,26.0,0,0,370.0,Calzado,1,0,,0.0,1,370.0
501175,Referido,139.0,11,Guadalajara,Movil,31.0,1,5,640.0,Ropa,2,4,20.0,0.206,0,936.0
501621,Afiliados,,2,CDMX,Escritorio,44.0,0,15,416.0,Accesorios,1,0,,0.0,0,416.0
500969,Organico,91.0,12,Monterrey,Movil,34.0,1,0,636.0,Ropa,1,1,19.0,0.21,0,636.0
501349,Organico,153.0,12,Monterrey,Escritorio,33.0,1,25,610.0,Calzado,2,0,,0.0,0,610.0
500599,Instagram,281.0,1,CDMX,Movil,32.0,0,25,129.0,Calzado,1,0,,0.0,1,137.0
500986,Organico,147.0,6,CDMX,Tablet,22.0,0,15,628.0,Deportivo,3,0,,0.0,1,628.0
500172,Afiliados,185.0,6,Guadalajara,Movil,24.0,0,15,308.0,Calzado,1,1,90.0,0.195,0,308.0
500377,Afiliados,289.0,6,Merida,Escritorio,36.0,0,15,150.0,Ropa,2,0,,0.0,0,150.0
500236,Organico,143.0,6,CDMX,Escritorio,49.0,1,5,563.0,Ropa,1,0,,0.0,0,565.0
500610,Google Ads,360.0,8,Merida,Movil,35.0,1,0,1062.0,Deportivo,2,2,44.0,0.049,1,
500080,Organico,124.0,12,Merida,Escritorio,36.0,0,0,324.0,Ropa,4,2,16.0,0.098,1,733.0
500850,Google Ads,423.0,6,Monterrey,Movil,43.0,1,0,752.0,Calzado,2,2,2.0,0.377,0,752.0
501562,Organico,100.0,1,CDMX,Escritorio,32.0,1,5,507.0,Calzado,1,2,25.0,0.366,0,507.0
500965,Instagram,393.0,3,CDMX,Movil,43.0,0,20,293.0,Accesorios,4,1,15.0,0.069,0,395.0
501489,Google Ads,486.0,7,Merida,Escritorio,18.0,0,15,402.0,Ropa,1,0,,0.0,0,402.0
501232,Google Ads,348.0,4,Merida,Movil,32.0,1,5,1404.0,Deportivo,1,5,5.0,0.348,1,1858.0
500737,Organico,139.0,7,Guadalajara,Tablet,37.0,0,20,293.0,Accesorios,2,1,18.0,0.033,1,293.0
501800,Afiliados,201.0,5,Merida,Movil,49.0,0,25,343.0,Calzado,1,3,36.0,0.269,0,343.0
501442,Referido,112.0,10,Guadalajara,Movil,33.0,1,0,866.0,Ropa,2,5,27.0,0.139,1,2141.0
500109,Instagram,298.0,10,Guadalajara,Movil,20.0,0,25,423.0,Calzado,1,2,34.0,0.357,1,430.0
500410,Organico,120.0,11,Puebla,Escritorio,40.0,0,5,572.0,Calzado,2,1,3.0,0.073,0,722.0
501900,Referido,153.0,6,CDMX,Movil,,1,25,654.0,Calzado,3,1,17.0,0.505,0,654.0
501599,Google Ads,337.0,12,Puebla,Movil,39.0,0,25,360.0,Calzado,1,3,20.0,0.558,0,684.0
501713,Organico,133.0,9,Puebla,Movil,18.0,1,5,828.0,Calzado,4,3,37.0,0.107,0,828.0
500393,Instagram,,6,CDMX,Movil,28.0,0,0,492.0,Calzado,1,3,32.0,0.151,1,492.0
500994,Instagram,439.0,5,Merida,Movil,31.0,1,25,419.0,Ropa,3,0,,0.0,0,419.0
500371,Referido,157.0,4,Puebla,Movil,31.0,1,20,424.0,Accesorios,2,7,7.0,0.347,0,592.0
500742,Organico,174.0,4,Monterrey,Escritorio,28.0,0,20,295.0,Ropa,2,3,20.0,0.203,1,299.0
500019,Google Ads,448.0,12,CDMX,Tablet,,1,0,419.0,Deportivo,1,1,28.0,0.153,1,799.0
501997,Referido,227.0,10,CDMX,Tablet,34.0,0,30,382.0,Calzado,6,3,19.0,0.175,0,382.0
501487,Instagram,494.0,12,Monterrey,Tablet,36.0,0,5,450.0,Ropa,1,0,,0.0,1,614.0
500351,Instagram,529.0,9,Merida,Movil,24.0,0,0,210.0,Ropa,2,1,32.0,0.066,0,210.0
501681,Organico,155.0,1,Monterrey,Escritorio,19.0,1,0,1079.0,Accesorios,2,0,,0.0,0,1079.0
500721,Organico,147.0,12,Guadalajara,Escritorio,42.0,1,0,401.0,Ropa,2,2,89.0,0.268,0,401.0
501707,Instagram,526.0,5,Guadalajara,Movil,39.0,0,0,329.0,Ropa,1,3,10.0,0.369,0,329.0
500319,Organico,110.0,4,Monterrey,Movil,36.0,1,0,1136.0,Ropa,3,2,11.0,0.347,0,1136.0
500894,Referido,171.0,2,Merida,Movil,47.0,0,15,569.0,Ropa,2,4,4.0,0.203,1,569.0
500580,Instagram,322.0,4,CDMX,Escritorio,35.0,1,0,310.0,Accesorios,1,2,64.0,0.095,0,310.0
500571,Google Ads,697.0,3,CDMX,Tablet,21.0,0,30,392.0,Ropa,4,1,53.0,0.193,0,392.0
501132,Google Ads,357.0,3,Puebla,Escritorio,49.0,0,30,248.0,Calzado,4,3,23.0,0.115,1,338.0
500915,Referido,218.0,8,CDMX,Movil,27.0,0,5,503.0,Ropa,1,3,61.0,0.228,0,645.0
501598,Organico,62.0,5,Guadalajara,Tablet,23.0,1,0,453.0,Deportivo,2,2,20.0,0.067,0,453.0
501658,Instagram,,5,CDMX,Escritorio,36.0,0,20,348.0,Ropa,1,1,11.0,0.02,0,348.0
500989,Google Ads,263.0,6,Guadalajara,Escritorio,24.0,1,5,728.0,Calzado,1,3,36.0,0.169,0,1267.0
501161,Google Ads,604.0,6,Merida,Tablet,43.0,1,0,280.0,Accesorios,4,3,32.0,0.17,0,722.0
500059,Instagram,429.0,1,Puebla,Movil,38.0,0,20,312.0,Ropa,2,1,13.0,0.097,1,312.0
500332,Instagram,224.0,4,Guadalajara,Movil,26.0,0,30,217.0,Calzado,2,2,6.0,0.006,0,372.0
501297,Afiliados,208.0,2,Puebla,Movil,36.0,0,30,172.0,Deportivo,1,2,31.0,0.033,0,202.0
500596,Organico,124.0,8,Puebla,Movil,29.0,1,0,372.0,Calzado,1,1,27.0,0.028,1,385.0
501723,Referido,150.0,8,Monterrey,Escritorio,24.0,0,30,407.0,Ropa,1,2,20.0,0.091,0,746.0
500112,Instagram,427.0,5,Monterrey,Movil,31.0,0,20,369.0,Ropa,1,1,48.0,0.126,1,404.0
501119,Referido,162.0,7,CDMX,Movil,30.0,1,5,885.0,Calzado,4,1,22.0,0.148,1,1287.0
500022,Instagram,378.0,9,CDMX,Escritorio,35.0,1,10,346.0,Calzado,3,1,12.0,0.156,1,554.0
500045,Instagram,459.0,10,CDMX,Escritorio,47.0,1,15,755.0,Ropa,2,0,,0.0,0,755.0
500331,Organico,125.0,1,Merida,Movil,52.0,1,0,767.0,Ropa,2,0,,0.0,1,
500755,Afiliados,191.0,3,Monterrey,Escritorio,34.0,0,25,112.0,Ropa,1,0,,0.0,0,112.0
500745,Afiliados,179.0,7,Merida,Escritorio,,1,25,232.0,Calzado,2,1,17.0,0.147,0,232.0
500653,Organico,111.0,6,Guadalajara,Movil,47.0,1,5,853.0,Calzado,2,2,16.0,0.146,1,1011.0
500648,Referido,113.0,5,Merida,Movil,22.0,0,20,519.0,Deportivo,1,1,29.0,0.502,1,523.0
500813,Instagram,262.0,4,CDMX,Movil,43.0,1,0,780.0,Deportivo,1,3,43.0,0.038,0,780.0
501914,Afiliados,170.0,8,Guadalajara,Escritorio,,0,30,212.0,Ropa,1,0,,0.0,0,212.0
501471,Instagram,343.0,1,Monterrey,Escritorio,20.0,0,20,691.0,Calzado,1,1,33.0,0.211,0,691.0
501377,Afiliados,137.0,6,Puebla,Movil,,1,25,847.0,Deportivo,1,1,12.0,0.067,1,847.0
500362,Organico,105.0,2,Guadalajara,Movil,36.0,1,0,745.0,Deportivo,3,2,21.0,0.285,0,999.0
501566,Instagram,259.0,10,Puebla,Movil,23.0,0,20,286.0,Accesorios,2,0,,0.0,1,286.0
500276,Google Ads,453.0,11,Puebla,Movil,41.0,1,25,364.0,Ropa,2,1,13.0,0.059,0,364.0
501915,Organico,133.0,11,CDMX,Escritorio,29.0,1,25,335.0,Ropa,4,1,14.0,0.122,1,
501111,Instagram,234.0,3,Monterrey,Movil,18.0,0,15,432.0,Ropa,4,1,30.0,0.06,1,432.0
501711,Instagram,377.0,5,Puebla,Movil,,0,30,334.0,Accesorios,3,1,51.0,0.06,0,334.0
500316,Instagram,289.0,11,CDMX,Movil,37.0,0,0,397.0,Ropa,2,0,,0.0,0,397.0
501229,Afiliados,233.0,4,Puebla,Escritorio,31.0,0,15,243.0,Calzado,3,2,42.0,0.07,1,243.0
500854,Google Ads,395.0,9,Puebla,Movil,37.0,0,20,455.0,Accesorios,1,0,,0.0,0,455.0
501605,Instagram,306.0,3,CDMX,Movil,46.0,1,25,368.0,Ropa,3,4,22.0,0.228,0,368.0
501318,Google Ads,395.0,2,CDMX,Escritorio,42.0,1,0,311.0,Calzado,2,0,,0.0,0,452.0
501673,Referido,172.0,6,Monterrey,Movil,52.0,1,0,960.0,Calzado,2,3,11.0,0.024,1,960.0
501939,Referido,132.0,7,CDMX,Movil,43.0,0,10,378.0,Ropa,1,1,30.0,0.246,0,678.0
500585,Referido,150.0,10,CDMX,Movil,42.0,0,0,366.0,Deportivo,1,2,10.0,0.306,0,445.0
500728,Organico,85.0,5,CDMX,Movil,25.0,1,25,415.0,Ropa,1,1,47.0,0.095,1,428.0
501581,Organico,104.0,2,Monterrey,Escritorio,51.0,1,30,176.0,Ropa,1,3,84.0,0.401,0,301.0
501869,Instagram,432.0,5,Puebla,Escritorio,30.0,1,30,429.0,Ropa,3,0,,0.0,0,429.0
500741,Google Ads,486.0,1,CDMX,Movil,26.0,0,5,726.0,Deportivo,1,2,39.0,0.375,0,851.0
501335,Organico,134.0,2,Monterrey,Movil,41.0,1,0,149.0,Accesorios,1,0,,0.0,0,402.0
501879,Google Ads,484.0,12,Monterrey,Escritorio,37.0,1,20,310.0,Calzado,1,1,14.0,0.192,0,444.0
501510,Instagram,259.0,5,Monterrey,Movil,39.0,0,0,529.0,Calzado,4,2,33.0,0.377,0,529.0
501050,Google Ads,480.0,9,Puebla,Movil,39.0,0,0,721.0,Ropa,4,2,8.0,0.117,1,721.0
500227,Google Ads,514.0,12,CDMX,Movil,37.0,1,0,372.0,Ropa,1,2,35.0,0.278,1,384.0
501747,Organico,95.0,1,Merida,Escritorio,55.0,0,5,450.0,Calzado,2,2,12.0,0.349,1,1085.0
500326,Instagram,669.0,9,Guadalajara,Escritorio,18.0,1,25,422.0,Deportivo,2,0,,0.0,0,422.0
501928,Instagram,313.0,5,CDMX,Movil,27.0,0,25,211.0,Accesorios,1,0,,0.0,0,211.0
500343,Instagram,597.0,4,CDMX,Movil,44.0,0,0,498.0,Ropa,4,4,22.0,0.344,1,597.0
500538,Instagram,449.0,2,Guadalajara,Movil,37.0,0,30,222.0,Ropa,3,0,,0.0,0,222.0
501001,Referido,141.0,4,CDMX,Movil,43.0,0,10,330.0,Ropa,1,4,13.0,0.213,1,892.0
500570,Afiliados,206.0,12,Guadalajara,Escritorio,39.0,1,25,288.0,Ropa,1,0,,0.0,0,288.0
501233,Organico,149.0,2,Guadalajara,Movil,48.0,0,0,714.0,Calzado,2,1,24.0,0.422,0,748.0
500018,Afiliados,,6,Monterrey,Escritorio,40.0,0,30,331.0,Deportivo,1,0,,0.0,0,331.0
500622,Referido,149.0,3,CDMX,Escritorio,33.0,1,0,589.0,Accesorios,2,1,6.0,0.343,0,589.0
500565,Referido,128.0,1,Monterrey,Movil,39.0,1,0,330.0,Ropa,3,2,15.0,0.281,0,479.0
501937,Instagram,400.0,11,Monterrey,Movil,,1,20,245.0,Ropa,2,2,3.0,0.179,1,384.0
501635,Referido,152.0,11,Monterrey,Escritorio,20.0,0,5,778.0,Accesorios,1,8,37.0,0.285,1,999.0
501591,Google Ads,564.0,5,Guadalajara,Escritorio,45.0,1,0,581.0,Ropa,2,1,13.0,0.133,0,581.0
501846,Google Ads,715.0,6,Monterrey,Escritorio,26.0,1,25,351.0,Ropa,1,1,32.0,0.091,0,351.0
501201,Afiliados,187.0,6,Guadalajara,Escritorio,,1,25,191.0,Ropa,1,2,35.0,0.106,0,191.0
501968,Referido,157.0,10,Merida,Movil,20.0,1,0,568.0,Ropa,2,1,13.0,0.342,0,1034.0
501530,Organico,,3,Guadalajara,Escritorio,25.0,0,0,533.0,Accesorios,3,0,,0.0,0,533.0
500510,Afiliados,156.0,1,CDMX,Escritorio,32.0,1,25,148.0,Ropa,1,1,58.0,0.026,0,148.0
501228,Instagram,463.0,4,CDMX,Movil,32.0,0,0,587.0,Deportivo,1,1,31.0,0.128,0,587.0
501059,Afiliados,254.0,11,Puebla,Escritorio,,1,30,169.0,Ropa,1,2,37.0,0.019,0,169.0
500200,Organico,,3,CDMX,Movil,28.0,1,0,494.0,Ropa,2,3,18.0,0.201,0,776.0
500782,Referido,153.0,6,Monterrey,Escritorio,40.0,1,0,451.0,Ropa,1,2,46.0,0.199,0,451.0
500204,Google Ads,371.0,3,Merida,Movil,36.0,0,25,360.0,Calzado,1,0,,0.0,0,360.0
500799,Afiliados,202.0,3,CDMX,Tablet,,0,20,249.0,Ropa,3,1,68.0,0.025,1,249.0
501905,Referido,165.0,1,CDMX,Tablet,43.0,0,10,469.0,Ropa,3,6,2.0,0.026,1,1045.0
501336,Afiliados,,10,Guadalajara,Movil,38.0,0,5,257.0,Ropa,2,2,21.0,0.421,0,392.0
501522,Instagram,424.0,1,CDMX,Movil,33.0,1,15,519.0,Accesorios,1,0,,0.0,0,519.0
500651,Organico,115.0,11,Puebla,Escritorio,33.0,1,0,532.0,Accesorios,1,1,43.0,0.286,0,532.0
500557,Afiliados,160.0,6,Monterrey,Movil,43.0,0,25,97.0,Ropa,3,0,,0.0,0,97.0
500561,Instagram,272.0,10,Guadalajara,Movil,28.0,1,0,752.0,Ropa,1,3,50.0,0.262,0,752.0
500847,Google Ads,511.0,8,CDMX,Movil,28.0,1,5,530.0,Accesorios,1,1,45.0,0.125,1,933.0
500960,Organico,102.0,12,Guadalajara,Movil,30.0,0,15,412.0,Accesorios,3,2,22.0,0.321,1,588.0
501052,Google Ads,338.0,2,Guadalajara,Movil,34.0,0,30,333.0,Accesorios,2,3,17.0,0.14,0,391.0
501616,Google Ads,408.0,11,Monterrey,Movil,60.0,0,30,634.0,Ropa,3,3,17.0,0.056,0,634.0
